No,Nama Perusahaan,Merek Perusahaan,Nomor Anggota,Nama Pimpinan,Perijinan,Kota,Provinsi,DPD
"1","PT MAKASSAR TORAJA","Maktour","001/AMPHURI/2008","H. Fuad Hasan Masyhur","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"2","PT GELORA INDAH PERDANA","Biro Perjalanan Wisata","002/AMPHURI/2008","H. Lukman Latif","PIHK","","Sulawesi Selatan","Sulampua"
"3","PT TONGGAK BUMI INDAH ARAFAH","Bia Travel","003/AMPHURI/2008","H. Achmad Shofi Yunnaja, S. Si","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"4","PT AHSANTA","Ahsanta Tours & Travel","008/AMPHURI/2008","H. Budi Firmansyah","PIHK","","Banten","Banten"
"5","PT AL-ANDALUS NUSANTARA TRAVEL","Andalus Nusantara","014/AMPHURI/2008","H. Muhammad Ramli","PIHK","","Jawa Timur","Jawa Timur"
"6","PT MUNA BINA INSANI","Munatour","016/AMPHURI/2017","Hj. Sri Sekarsih","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"7","PT JASA WISATA NUSANTARA","Jawara Tour","020/AMPHURI/2008","H. Cheppy Wahyu Hidayat","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"8","PT HIDAYAH SAFIR","Hidayah Safir Tour & Travel","023/AMPHURI/2008","H. Muzni Mohammad Yunus","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"9","PT AROFAH TRAVEL MANDIRI","Atm Tours","025/AMPHURI/2008","Hj. Keyko Sukma Ditami, Sh.","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"10","PT AL AMIN UNIVERSAL","Al Amin Universal","027/AMPHURI/2008","Drs. H. Suharli","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"11","PT BUDI LUHUR ABADI","Ayo Haji","029/AMPHURI/2008","Hj. Marlissa Dessy Setyo Utami","PPIU","","Jawa Barat","Jawa Barat"
"12","PT GALATAMA NUANSA TOUR & TRAVEL","Galatama Tour","031/AMPHURI/2008","Ir. Hj. Rita Ermawati Mm","PIHK","","Jawa Tengah","Jawa Tengah"
"13","PT HIKMAH PERDANA WISATA","Hikmah Perdana Tour","035/AMPHURI/2008","H. Muhammad Rocky Masyhur","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"14","PT TISAGA MULTAZAM UTAMA","Multazam Utama Tor","036/AMPHURI/2008","Dra. Hj. Winarti","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"15","PT KEMANG NUSANTARA TRAVEL","Kem Travel","038/AMPHURI/2008","H. Muhammad Khoeron, Ma","PIHK","","Banten","Banten"
"16","PT ANDROMEDA ATRIA WISATA","Atria Wisata","040/AMPHURI/2008","H. Zainal Abidin Hs, Se.","PIHK","","Jawa Timur","Jawa Timur"
"17","PT SAHID GEMA WISATA TOURS","Sahid Tour","043/AMPHURI/2008","H. Hari Prakoso","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"18","PT MANASIK PRIMA","Manasik Prima","044/AMPHURI/2008","H. Ali Muhammad Johan Cakrawijaya. Se .Ak","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"19","PT MAKASSAR MANDIRI WISATA","-","045/AMPHURI/2008","H. Noval Lukman Umar","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"20","PT PRIMA ASTUTI SEJAHTERA","Primas Travel","048/AMPHURI/2008","Dra. Hj. Astuty Waty","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"21","PT ARIL BUANA WISATA","Anata Tour & Travel","049/AMPHURI/2008","H. Iwan Tigor Hamsana","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"22","PT ROYAL JAVA TOUR & TRAVEL","-","050/AMPHURI/2008","H. Ruri Amir","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"23","PT BUNDA ASNI PRIMA","Bap Tour & Travel","051/AMPHURI/2008","Hj. Herlandin Laksmiwati","PIHK","","Lampung","Lampung"
"24","PT MEGAHBUANA LAENA PERSADA","Laena Tours & Travel","052/AMPHURI/2008","H. Tafsirudin Laena, Se.","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"25","PT DEWISERASI INDAHWISATA","Indah Wisata","056/AMPHURI/2008","Ir. H. Bungsu Am Sumawijaya, Mba.","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"26","PT DUTA FARAS","Duta Faras Tour","057/AMPHURI/2008","H. Ahmad Agil Alkaff, Lc, Mba.","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"27","PT MASY ARIL HARAM TOUR & TRAVEL","Mastour","059/AMPHURI/2008","H. Syarqowie Ghozali Amin","PIHK","","Jawa Timur","Jawa Timur"
"28","PT LINTAS ZIARAH SAHARA","Lizahra","063/AMPHURI/2008","Hj. Anief Yulianti","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"29","PT AL ANSHOR MADINAH BAROKAH","Al Anshor Tours & Travel","066/AMPHURI/2008","Drs. H. Ghozali Mukri","PIHK","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"30","PT MABRUR ABADI PRATAMA","-","072/AMPHURI/2008","H. Brilliant David Pratama","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"31","PT MABRURO","Pt. Mabruro Tours & Travel","073/AMPHURI/2008","Hj. Firda Lailia","PIHK","","Jawa Timur","Jawa Timur"
"32","PT GALIH TUNGGAL PERKASA","Galih Tour / Myhajiumroh","074/AMPHURI/2008","H. Andi Wirawan","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
